search_query,imp_total_count,clk_total_count,pur_total_count,ad_spend,revenue,acos,roas,conversion_rate
12â noodle snake toy,38,1,1,1.2171359316008108,22.935086091513945,0.05306873175641381,18.84348781105253,1.0
18 pieces stretchy stream toy,19,2,1,3.57398676560824,47.63247346518011,0.0750325671880312,13.327546123991807,0.5
2 year old sensory toys,9203,116,3,176.62041890136092,111.48949644612523,1.5841888656005252,0.631237866717947,0.02586206896551724
20 month old autism toys,19,1,1,1.7469328687310253,45.95399277313211,0.03801482228879149,26.30552873306068,1.0
3d pin art toy,28225,489,51,876.240067662092,2663.5962536417906,0.32896880165830555,3.0398019354999,0.10429447852760736
6 pack bunmo sensory toys- calming textured silly stretchy strings and sensory toys for autistic children,53,1,1,1.7760637951371288,48.45806098410425,0.03665156547885259,27.28396418911452,1.0
80s toys nostalgia,7837,70,9,61.40170556054369,152.9424505375516,0.4014693457881262,2.490850199376731,0.12857142857142856
9monthnold baby toys,9104,116,4,105.14575488702602,72.36286313147437,1.4530347520383375,0.6882147853636577,0.034482758620689655
a am infants fidget toys,57,5,1,3.5199223104360837,19.648043283557534,0.17914874573702363,5.5819536770183245,0.2
a wiggle sensory toys,114,2,0,1.9660485154971457,0.0,inf,0.0,0.0
acc device autism,1413,23,1,17.486512464253767,19.095890614838904,0.9157212311776372,1.092035398932466,0.043478260869565216
adaptive toys for special needs,308,2,0,2.1204988757372782,0.0,inf,0.0,0.0
adaptive toys for special needs children,14354,168,5,250.90792450532382,171.56801643317436,1.4624399682504479,0.6837887514769746,0.02976190476190476
adult autism gifts,2469,25,3,14.953852401692789,37.86690604981301,0.39490557749876243,2.5322508897791747,0.12
adult autism sensory products,10363,94,5,166.02846319860575,247.71727115338277,0.6702336999982672,1.4920168890382346,0.05319148936170213
adult autism toys,2498,28,2,9.996499831609427,24.739837137733797,0.40406490050666194,2.474849952931046,0.07142857142857142
adult autistic gifts,1372,21,3,10.300000154993997,33.230841423688204,0.3099530350035544,3.2262952353040593,0.14285714285714285
adult chew toys,35755,487,39,511.9068067994345,888.4795118428551,0.5761605078969735,1.7356274619551253,0.08008213552361396
adult fidget,42699,516,20,656.6912214847875,510.09454845377195,1.2873911777245766,0.776764682951664,0.03875968992248062
adult figit items,512,10,1,11.390333111244281,25.919350624545164,0.4394528735013075,2.275556857855032,0.1
adult sensory items,72153,853,28,1260.4711541598235,1033.1894968030756,1.219980611552875,0.8196851577232291,0.032825322391559206
adult sensory items for autism,1399,13,2,12.15037054012152,37.07646429389363,0.32771114429383835,3.0514677862262807,0.15384615384615385
alzheimers fidget,1736,39,4,26.41715291068078,78.36036460787564,0.33712391516904344,2.96626835120425,0.10256410256410256
alzheimers fidget toys,2954,47,4,33.595847083250405,76.21336967455272,0.44081303879767825,2.2685354378979112,0.0851063829787234
alzheimers products,41603,486,22,381.3446513776923,358.26872119992595,1.0644095585583906,0.9394879930939127,0.04526748971193416
alzheimers toys,4124,67,11,81.75605270515743,226.0605351911027,0.36165557440640433,2.7650617625383727,0.16417910447761194
angelman syndrome toys,24936,271,21,405.15873173172525,1001.2646008791036,0.4046470147611317,2.471289700704484,0.07749077490774908
anger management toys,32250,366,8,707.9090614036985,591.6415838846641,1.1965167437279052,0.8357593031956817,0.02185792349726776
anger management toys for toddlers,205,4,1,7.744653290678714,71.99700791347854,0.10756909926014911,9.29635003804915,0.25
anti anxiety toys adults,25105,277,8,389.995384043528,195.42390370053334,1.9956380803914096,0.50109286339328,0.02888086642599278
anti stress toys,12846,202,0,291.7103815533558,0.0,inf,0.0,0.0
anti strip clothing kids,1940,19,1,36.580455199917445,74.75247127660207,0.48935445979519515,2.043508503873696,0.05263157894736842
